county_fips,county_name,year,employment,emp_2010,pct_chg_2010_now,Construction,Education and health services,Financial activities,Information,Leisure and hospitality,Manufacturing,Natural resources and mining,Other services,Professional and business services,Public administration,"Trade, transportation and utilities",Natural resources and mining_pct,Construction_pct,Manufacturing_pct,"Trade, transportation and utilities_pct",Information_pct,Financial activities_pct,Professional and business services_pct,Education and health services_pct,Leisure and hospitality_pct,Other services_pct,Public administration_pct,in_core_11
13013,Barrow,2000,11140,12549,-11.2,1481.0,324.0,177.0,25.0,445.0,3467.0,163.0,277.0,564.0,,929.0,0.0208,0.1886,0.4415,0.1183,0.0032,0.0225,0.0718,0.0413,0.0567,0.0353,,False
13013,Barrow,2001,10897,12549,-13.2,1590.0,325.0,181.0,41.0,469.0,2946.0,0.0,280.0,456.0,,993.0,0.0,0.2184,0.4046,0.1364,0.0056,0.0249,0.0626,0.0446,0.0644,0.0385,,False
13013,Barrow,2002,11058,12549,-11.9,1590.0,339.0,190.0,78.0,519.0,2533.0,160.0,283.0,535.0,,1107.0,0.0218,0.2168,0.3454,0.1509,0.0106,0.0259,0.0729,0.0462,0.0708,0.0386,,False
13013,Barrow,2003,11892,12549,-5.2,1479.0,379.0,204.0,62.0,506.0,2670.0,189.0,282.0,716.0,,1128.0,0.0248,0.1942,0.3506,0.1481,0.0081,0.0268,0.094,0.0498,0.0664,0.037,,False
13013,Barrow,2004,12650,12549,0.8,1204.0,456.0,207.0,61.0,808.0,2495.0,178.0,299.0,566.0,,1242.0,0.0237,0.1602,0.332,0.1652,0.0081,0.0275,0.0753,0.0607,0.1075,0.0398,,False
13013,Barrow,2005,13106,12549,4.4,1300.0,488.0,220.0,58.0,882.0,2401.0,172.0,438.0,733.0,,1121.0,0.022,0.1664,0.3073,0.1435,0.0074,0.0282,0.0938,0.0625,0.1129,0.0561,,False
13013,Barrow,2006,13552,12549,8.0,1400.0,538.0,250.0,42.0,920.0,2367.0,164.0,402.0,958.0,,909.0,0.0206,0.1761,0.2977,0.1143,0.0053,0.0314,0.1205,0.0677,0.1157,0.0506,,False
13013,Barrow,2007,14241,12549,13.5,1404.0,514.0,365.0,22.0,940.0,2431.0,188.0,462.0,1055.0,,927.0,0.0226,0.169,0.2926,0.1116,0.0026,0.0439,0.127,0.0619,0.1131,0.0556,,False
13013,Barrow,2008,13213,12549,5.3,1176.0,559.0,303.0,33.0,890.0,2207.0,100.0,467.0,567.0,,981.0,0.0137,0.1615,0.303,0.1347,0.0045,0.0416,0.0779,0.0768,0.1222,0.0641,,False
13013,Barrow,2009,12560,12549,0.1,962.0,590.0,302.0,22.0,821.0,1973.0,100.0,420.0,565.0,,965.0,0.0149,0.1432,0.2936,0.1436,0.0033,0.0449,0.0841,0.0878,0.1222,0.0625,,False
13013,Barrow,2010,12549,12549,0.0,932.0,606.0,300.0,57.0,807.0,1961.0,96.0,396.0,744.0,,976.0,0.014,0.1356,0.2852,0.142,0.0083,0.0436,0.1082,0.0881,0.1174,0.0576,,False
13013,Barrow,2011,12490,12549,-0.5,900.0,628.0,288.0,63.0,852.0,1998.0,89.0,410.0,518.0,,962.0,0.0133,0.1342,0.2979,0.1434,0.0094,0.0429,0.0772,0.0936,0.127,0.0611,,False
13013,Barrow,2012,13030,12549,3.8,925.0,642.0,290.0,102.0,838.0,2180.0,90.0,425.0,528.0,,1024.0,0.0128,0.1313,0.3095,0.1454,0.0145,0.0412,0.075,0.0911,0.119,0.0603,,False
13013,Barrow,2013,13876,12549,10.6,930.0,662.0,305.0,128.0,833.0,2180.0,78.0,480.0,468.0,,1250.0,0.0107,0.1272,0.2981,0.1709,0.0175,0.0417,0.064,0.0905,0.1139,0.0656,,False
13013,Barrow,2014,14312,12549,14.0,1025.0,706.0,303.0,126.0,814.0,2247.0,85.0,492.0,460.0,,1314.0,0.0112,0.1354,0.2968,0.1735,0.0166,0.04,0.0608,0.0932,0.1075,0.065,,False
13013,Barrow,2015,15766,12549,25.6,1171.0,712.0,278.0,115.0,862.0,2410.0,123.0,526.0,574.0,,1494.0,0.0149,0.1417,0.2916,0.1808,0.0139,0.0336,0.0694,0.0861,0.1043,0.0636,,False
13013,Barrow,2016,15932,12549,27.0,1282.0,744.0,233.0,109.0,963.0,2503.0,88.0,539.0,528.0,,1477.0,0.0104,0.1514,0.2957,0.1745,0.0129,0.0275,0.0624,0.0879,0.1137,0.0637,,False
13013,Barrow,2017,16594,12549,32.2,1564.0,808.0,224.0,76.0,1134.0,2457.0,157.0,508.0,512.0,,1487.0,0.0176,0.1752,0.2752,0.1666,0.0085,0.0251,0.0574,0.0905,0.127,0.0569,,False
13013,Barrow,2018,17094,12549,36.2,1646.0,905.0,198.0,64.0,1247.0,2613.0,236.0,475.0,420.0,,1521.0,0.0253,0.1765,0.2802,0.1631,0.0069,0.0212,0.045,0.0971,0.1337,0.0509,,False
13013,Barrow,2019,17604,12549,40.3,1569.0,983.0,220.0,64.0,1255.0,2612.0,156.0,504.0,583.0,,1602.0,0.0163,0.1643,0.2736,0.1678,0.0067,0.023,0.0611,0.103,0.1314,0.0528,,False
13013,Barrow,2020,17465,12549,39.2,1674.0,990.0,239.0,66.0,1222.0,2527.0,108.0,473.0,580.0,,1968.0,0.011,0.17,0.2566,0.1999,0.0067,0.0243,0.0589,0.1005,0.1241,0.048,,False
13013,Barrow,2021,18086,12549,44.1,1677.0,974.0,244.0,88.0,1334.0,2325.0,80.0,476.0,574.0,,1877.0,0.0083,0.1738,0.241,0.1945,0.0091,0.0253,0.0595,0.1009,0.1383,0.0493,,False
13013,Barrow,2022,19592,12549,56.1,1825.0,982.0,243.0,100.0,1414.0,2299.0,71.0,553.0,604.0,,1910.0,0.0071,0.1825,0.2299,0.191,0.01,0.0243,0.0604,0.0982,0.1414,0.0553,,False
13013,Barrow,2023,20324,12549,62.0,1914.0,980.0,291.0,114.0,1514.0,2392.0,66.0,581.0,742.0,,2468.0,0.006,0.173,0.2162,0.2231,0.0103,0.0263,0.0671,0.0886,0.1369,0.0525,,False
13013,Barrow,2024,20798,12549,65.7,1928.0,1005.0,299.0,119.0,1601.0,2479.0,64.0,664.0,698.0,,1905.0,0.0059,0.1791,0.2303,0.177,0.0111,0.0278,0.0649,0.0934,0.1488,0.0617,,False
13013,Barrow,2025,20925,12549,66.7,1882.0,997.0,299.0,129.0,1572.0,2692.0,72.0,713.0,665.0,,2091.0,0.0065,0.1694,0.2423,0.1882,0.0116,0.0269,0.0598,0.0897,0.1415,0.0642,,False
13015,Bartow,2000,27134,26130,3.8,1569.0,754.0,356.0,402.0,1197.0,9954.0,102.0,510.0,994.0,,2280.0,0.0056,0.0866,0.5494,0.1258,0.0222,0.0196,0.0549,0.0416,0.0661,0.0281,,False
13015,Bartow,2001,26560,26130,1.6,1478.0,849.0,402.0,266.0,1240.0,9002.0,88.0,472.0,1023.0,,2351.0,0.0051,0.0861,0.5243,0.1369,0.0155,0.0234,0.0596,0.0494,0.0722,0.0275,,False
