county_name,year,supersector,employment
Barrow,2020,Construction,2072
Barrow,2020,Education and health services,4091
Barrow,2020,Financial activities,1739
Barrow,2020,Information,162
Barrow,2020,Leisure and hospitality,2181
Barrow,2020,Natural resources and mining,108
Barrow,2020,Other services,891
Barrow,2020,Professional and business services,2603
Barrow,2020,Public administration,986
Barrow,2020,"Trade, transportation and utilities",1562
Barrow,2030,Construction,2208
Barrow,2030,Education and health services,4863
Barrow,2030,Financial activities,1887
Barrow,2030,Information,167
Barrow,2030,Leisure and hospitality,2684
Barrow,2030,Natural resources and mining,80
Barrow,2030,Other services,1167
Barrow,2030,Professional and business services,3016
Barrow,2030,Public administration,1161
Barrow,2030,"Trade, transportation and utilities",1656
Barrow,2040,Construction,2437
Barrow,2040,Education and health services,5133
Barrow,2040,Financial activities,1945
Barrow,2040,Information,168
Barrow,2040,Leisure and hospitality,2796
Barrow,2040,Natural resources and mining,77
Barrow,2040,Other services,1185
Barrow,2040,Professional and business services,3226
Barrow,2040,Public administration,1191
Barrow,2040,"Trade, transportation and utilities",1713
Barrow,2050,Construction,2561
Barrow,2050,Education and health services,5325
Barrow,2050,Financial activities,1749
Barrow,2050,Information,168
Barrow,2050,Leisure and hospitality,2738
Barrow,2050,Natural resources and mining,68
Barrow,2050,Other services,1121
Barrow,2050,Professional and business services,3419
Barrow,2050,Public administration,1306
Barrow,2050,"Trade, transportation and utilities",1670
Bartow,2020,Construction,2053
Bartow,2020,Education and health services,7226
Bartow,2020,Financial activities,2828
Bartow,2020,Information,304
Bartow,2020,Leisure and hospitality,3881
Bartow,2020,Natural resources and mining,263
Bartow,2020,Other services,867
Bartow,2020,Professional and business services,6306
Bartow,2020,Public administration,1799
Bartow,2020,"Trade, transportation and utilities",2030
Bartow,2030,Construction,2920
Bartow,2030,Education and health services,7976
Bartow,2030,Financial activities,4496
Bartow,2030,Information,351
Bartow,2030,Leisure and hospitality,5360
Bartow,2030,Natural resources and mining,229
Bartow,2030,Other services,1287
Bartow,2030,Professional and business services,8425
Bartow,2030,Public administration,1616
Bartow,2030,"Trade, transportation and utilities",2138
Bartow,2040,Construction,2800
Bartow,2040,Education and health services,8333
Bartow,2040,Financial activities,4544
Bartow,2040,Information,361
Bartow,2040,Leisure and hospitality,5391
Bartow,2040,Natural resources and mining,203
Bartow,2040,Other services,1197
Bartow,2040,Professional and business services,9249
Bartow,2040,Public administration,1655
Bartow,2040,"Trade, transportation and utilities",2108
Bartow,2050,Construction,2847
Bartow,2050,Education and health services,9072
Bartow,2050,Financial activities,4246
Bartow,2050,Information,405
Bartow,2050,Leisure and hospitality,5351
Bartow,2050,Natural resources and mining,182
Bartow,2050,Other services,1109
Bartow,2050,Professional and business services,10230
Bartow,2050,Public administration,1920
Bartow,2050,"Trade, transportation and utilities",2271
Carroll,2020,Construction,3312
Carroll,2020,Education and health services,14178
Carroll,2020,Financial activities,3188
Carroll,2020,Information,697
Carroll,2020,Leisure and hospitality,4184
Carroll,2020,Natural resources and mining,237
Carroll,2020,Other services,1332
Carroll,2020,Professional and business services,5014
Carroll,2020,Public administration,1665
Carroll,2020,"Trade, transportation and utilities",1654
Carroll,2030,Construction,3705
Carroll,2030,Education and health services,17074
Carroll,2030,Financial activities,3205
Carroll,2030,Information,730
Carroll,2030,Leisure and hospitality,4511
Carroll,2030,Natural resources and mining,269
Carroll,2030,Other services,1672
Carroll,2030,Professional and business services,5812
Carroll,2030,Public administration,1881
Carroll,2030,"Trade, transportation and utilities",2494
Carroll,2040,Construction,3463
Carroll,2040,Education and health services,17859
Carroll,2040,Financial activities,3298
Carroll,2040,Information,743
Carroll,2040,Leisure and hospitality,4309
Carroll,2040,Natural resources and mining,297
Carroll,2040,Other services,1506
Carroll,2040,Professional and business services,6318
Carroll,2040,Public administration,1980
Carroll,2040,"Trade, transportation and utilities",2685
Carroll,2050,Construction,3225
Carroll,2050,Education and health services,18568
Carroll,2050,Financial activities,3275
Carroll,2050,Information,822
Carroll,2050,Leisure and hospitality,4249
Carroll,2050,Natural resources and mining,331
Carroll,2050,Other services,1340
Carroll,2050,Professional and business services,6977
Carroll,2050,Public administration,2044
Carroll,2050,"Trade, transportation and utilities",2631
Cherokee,2020,Construction,5479
Cherokee,2020,Education and health services,14463
Cherokee,2020,Financial activities,6541
Cherokee,2020,Information,861
Cherokee,2020,Leisure and hospitality,8751
Cherokee,2020,Natural resources and mining,198
Cherokee,2020,Other services,3305
Cherokee,2020,Professional and business services,12010
Cherokee,2020,Public administration,3813
Cherokee,2020,"Trade, transportation and utilities",2240
Cherokee,2030,Construction,4253
Cherokee,2030,Education and health services,15496
Cherokee,2030,Financial activities,11194
Cherokee,2030,Information,1073
Cherokee,2030,Leisure and hospitality,11633
Cherokee,2030,Natural resources and mining,214
Cherokee,2030,Other services,4806
Cherokee,2030,Professional and business services,15778
Cherokee,2030,Public administration,3727
Cherokee,2030,"Trade, transportation and utilities",2635
Cherokee,2040,Construction,3944
Cherokee,2040,Education and health services,16380
Cherokee,2040,Financial activities,11544
Cherokee,2040,Information,1073
Cherokee,2040,Leisure and hospitality,12402
Cherokee,2040,Natural resources and mining,197
Cherokee,2040,Other services,4962
Cherokee,2040,Professional and business services,17045
Cherokee,2040,Public administration,4345
Cherokee,2040,"Trade, transportation and utilities",2737
Cherokee,2050,Construction,3676
Cherokee,2050,Education and health services,18252
Cherokee,2050,Financial activities,10764
Cherokee,2050,Information,1149
Cherokee,2050,Leisure and hospitality,12568
Cherokee,2050,Natural resources and mining,168
Cherokee,2050,Other services,4818
Cherokee,2050,Professional and business services,19847
Cherokee,2050,Public administration,4730
Cherokee,2050,"Trade, transportation and utilities",2877
Clayton,2020,Construction,3777
Clayton,2020,Education and health services,21918
Clayton,2020,Financial activities,7378
Clayton,2020,Information,1381
Clayton,2020,Leisure and hospitality,11296
Clayton,2020,Natural resources and mining,191
Clayton,2020,Other services,2038
Clayton,2020,Professional and business services,15529
Clayton,2020,Public administration,9461
Clayton,2020,"Trade, transportation and utilities",6702
Clayton,2030,Construction,3830
Clayton,2030,Education and health services,25387
Clayton,2030,Financial activities,7990
Clayton,2030,Information,1426
Clayton,2030,Leisure and hospitality,13522
Clayton,2030,Natural resources and mining,176
Clayton,2030,Other services,2570
Clayton,2030,Professional and business services,17959
Clayton,2030,Public administration,10846
Clayton,2030,"Trade, transportation and utilities",7091
Clayton,2040,Construction,3578
Clayton,2040,Education and health services,26522
Clayton,2040,Financial activities,8174
Clayton,2040,Information,1453
Clayton,2040,Leisure and hospitality,13291
Clayton,2040,Natural resources and mining,150
Clayton,2040,Other services,2480
Clayton,2040,Professional and business services,19467
Clayton,2040,Public administration,11534
Clayton,2040,"Trade, transportation and utilities",6947
Clayton,2050,Construction,3334
Clayton,2050,Education and health services,26997
Clayton,2050,Financial activities,8758
Clayton,2050,Information,1715
Clayton,2050,Leisure and hospitality,13280
Clayton,2050,Natural resources and mining,138
