county_fips,county_name,acs_vintage,median_hh_income,poverty_universe,poverty_below,poverty_rate,hhinc_total,hhinc_lt10k,hhinc_10k_15k,hhinc_15k_20k,hhinc_20k_25k,hhinc_25k_30k,hhinc_30k_35k,hhinc_35k_40k,hhinc_40k_45k,hhinc_45k_50k,hhinc_50k_60k,hhinc_60k_75k,hhinc_75k_100k,hhinc_100k_125k,hhinc_125k_150k,hhinc_150k_200k,hhinc_200k_plus,poverty_rate_pct,in_core_11
13013,Barrow,1yr,90473,95879,7142,0.0745,33148,334,928,438,801,849,1167,1051,1602,1032,1314,3722,5447,4815,3291,4143,2214,7.4,False
13015,Bartow,1yr,87194,116056,12862,0.1108,45388,3033,943,982,1790,1132,1067,1433,699,1407,3284,4113,4857,5802,5068,5059,4719,11.1,False
13045,Carroll,1yr,76576,126682,16916,0.1335,45427,2249,1109,1698,1654,2418,1002,1208,1847,2010,1847,5067,6743,6909,2666,3281,3719,13.4,False
13057,Cherokee,1yr,116541,290703,20950,0.0721,107371,3655,1859,1293,2505,2500,1806,2202,2158,1977,4979,8601,11845,12721,11139,16278,21853,7.2,True
13063,Clayton,1yr,60067,293349,51892,0.1769,104436,7599,5756,3408,4605,4243,4933,4322,5685,3561,8044,9807,14219,10901,8010,4950,4393,17.7,True
13067,Cobb,1yr,102356,778052,66222,0.0851,301221,11837,4832,4011,6640,5991,7484,7320,8092,8334,18927,24256,38529,29909,26113,39915,59031,8.5,True
13077,Coweta,1yr,95944,156626,8227,0.0525,58017,1094,997,751,1804,1248,910,1773,1175,1671,4011,5137,10359,7298,5113,6722,7954,5.2,False
13085,Dawson,5yr,92991,30085,2569,0.0854,11573,462,181,287,247,205,277,281,316,378,967,862,1723,1469,848,1625,1445,8.5,False
13089,DeKalb,1yr,81564,757623,94661,0.1249,309812,17590,7905,9361,9754,6734,10505,11116,12964,8238,22791,28083,35892,28493,22104,29464,48818,12.5,True
13097,Douglas,1yr,77821,150020,14953,0.0997,52527,1830,880,1086,2386,1368,1753,1543,1667,3325,2971,5671,9322,5509,4479,3526,5211,10.0,True
13113,Fayette,1yr,117771,124038,7247,0.0584,46458,1885,413,553,705,824,1106,705,1497,2178,1603,2573,5460,4887,4863,6429,10777,5.8,True
13117,Forsyth,1yr,151031,278618,11319,0.0406,93592,2665,275,753,1209,1317,1978,1186,1310,1223,2939,3664,10532,8508,8880,14872,32281,4.1,True
13121,Fulton,1yr,101417,1058902,115448,0.109,463155,24780,14106,12580,9911,8838,9819,10029,13640,9899,24829,35090,54559,45503,29667,49731,110174,10.9,True
13135,Gwinnett,1yr,89712,997972,106305,0.1065,334891,14543,7330,5066,7399,7418,8527,9314,12019,10015,25153,32257,44912,36518,30170,38977,45273,10.6,True
13139,Hall,1yr,87038,219506,20630,0.094,77868,2387,1106,2017,1973,2386,3004,2003,2034,2103,4266,9100,11303,9654,7180,7635,9717,9.4,False
13151,Henry,1yr,89228,257334,20081,0.078,91706,3277,1749,1466,1823,2138,3396,2330,2175,2649,5158,9621,14862,13735,9042,8914,9371,7.8,True
13217,Newton,1yr,81759,121908,13419,0.1101,43003,1775,368,746,1760,1371,1496,877,1710,1683,3311,3976,8150,6684,2207,3767,3122,11.0,False
13223,Paulding,1yr,94565,187405,10640,0.0568,62743,1478,475,317,1221,940,1399,2234,1850,2636,4707,6372,9755,7755,5570,8285,7749,5.7,False
13247,Rockdale,1yr,77750,96992,8468,0.0873,36299,1902,800,588,928,898,1173,1085,1379,437,2805,4643,7009,4422,2090,3356,2784,8.7,True
13255,Spalding,1yr,64381,69608,11065,0.159,25877,1040,959,316,1143,516,2628,1181,938,1191,1740,3799,2798,2036,1639,2049,1904,15.9,False
13297,Walton,1yr,88385,108593,10267,0.0945,37993,2175,657,1160,881,1048,1588,1979,1225,700,1540,2794,5833,4360,3876,4842,3335,9.4,False
