county_name,year,sf_permits,mf_total_permits,total_permits,in_core_11
Barrow,2000,879,0,879,False
Barrow,2001,949,2,951,False
Barrow,2002,1225,0,1225,False
Barrow,2003,1312,18,1330,False
Barrow,2004,1366,5,1371,False
Barrow,2005,1369,0,1369,False
Barrow,2006,1151,0,1151,False
Barrow,2007,877,0,877,False
Barrow,2008,290,0,290,False
Barrow,2009,85,0,85,False
Barrow,2010,67,0,67,False
Barrow,2011,56,72,128,False
Barrow,2012,111,0,111,False
Barrow,2013,228,111,339,False
Barrow,2014,358,75,433,False
Barrow,2015,354,6,360,False
Barrow,2016,352,10,362,False
Barrow,2017,476,0,476,False
Barrow,2018,595,113,708,False
Barrow,2019,785,71,856,False
Barrow,2020,847,108,955,False
Barrow,2021,969,150,1119,False
Barrow,2022,882,122,1004,False
Barrow,2023,818,308,1126,False
Barrow,2024,1066,311,1377,False
Barrow,2025,1300,284,1584,False
Bartow,2000,1243,133,1376,False
Bartow,2001,1026,387,1413,False
Bartow,2002,992,173,1165,False
Bartow,2003,878,320,1198,False
Bartow,2004,1002,88,1090,False
Bartow,2005,1011,42,1053,False
Bartow,2006,1015,52,1067,False
Bartow,2007,570,34,604,False
Bartow,2008,360,9,369,False
Bartow,2009,129,0,129,False
Bartow,2010,104,4,108,False
Bartow,2011,74,8,82,False
Bartow,2012,75,0,75,False
Bartow,2013,152,0,152,False
Bartow,2014,210,0,210,False
Bartow,2015,332,0,332,False
Bartow,2016,509,0,509,False
Bartow,2017,592,6,598,False
Bartow,2018,638,264,902,False
Bartow,2019,632,267,899,False
Bartow,2020,769,102,871,False
Bartow,2021,741,400,1141,False
Bartow,2022,800,1607,2407,False
Bartow,2023,841,774,1615,False
Bartow,2024,1030,470,1500,False
Bartow,2025,783,235,1018,False
Carroll,2000,1487,208,1695,False
Carroll,2001,1684,630,2314,False
Carroll,2002,1690,270,1960,False
Carroll,2003,1612,184,1796,False
Carroll,2004,1799,92,1891,False
Carroll,2005,1298,212,1510,False
Carroll,2006,1351,8,1359,False
Carroll,2007,623,0,623,False
Carroll,2008,239,0,239,False
Carroll,2009,62,0,62,False
Carroll,2010,39,110,149,False
Carroll,2011,90,113,203,False
Carroll,2012,34,0,34,False
Carroll,2013,83,307,390,False
Carroll,2014,93,0,93,False
Carroll,2015,134,0,134,False
Carroll,2016,266,72,338,False
Carroll,2017,311,0,311,False
Carroll,2018,604,102,706,False
Carroll,2019,786,8,794,False
Carroll,2020,789,4,793,False
Carroll,2021,1049,192,1241,False
Carroll,2022,746,0,746,False
Carroll,2023,602,280,882,False
Carroll,2024,665,2,667,False
Carroll,2025,834,260,1094,False
Cherokee,2000,2858,894,3752,True
Cherokee,2001,2895,842,3737,True
Cherokee,2002,3206,596,3802,True
Cherokee,2003,3451,364,3815,True
Cherokee,2004,3790,272,4062,True
Cherokee,2005,3553,97,3650,True
Cherokee,2006,3402,253,3655,True
Cherokee,2007,2200,16,2216,True
Cherokee,2008,879,11,890,True
Cherokee,2009,421,0,421,True
Cherokee,2010,469,0,469,True
Cherokee,2011,445,27,472,True
Cherokee,2012,741,472,1213,True
Cherokee,2013,1399,0,1399,True
Cherokee,2014,1581,547,2128,True
Cherokee,2015,1832,206,2038,True
Cherokee,2016,2097,394,2491,True
Cherokee,2017,2285,0,2285,True
Cherokee,2018,2299,931,3230,True
Cherokee,2019,2178,266,2444,True
Cherokee,2020,2383,9,2392,True
Cherokee,2021,2500,169,2669,True
Cherokee,2022,2498,526,3024,True
Cherokee,2023,2198,30,2228,True
