county_name,year,supersector,total_annual_wages,annual_avg_emplvl,avg_annual_pay,in_core_11
Barrow,2015,Construction,48250281,1024,47119.0,False
Barrow,2015,Education and health services,57684064,1566,36835.0,False
Barrow,2015,Financial activities,17375148,499,34820.0,False
Barrow,2015,Information,4900730,119,41183.0,False
Barrow,2015,Leisure and hospitality,32804992,1800,18225.0,False
Barrow,2015,Manufacturing,98159056,2196,44699.0,False
Barrow,2015,Natural resources and mining,4411688,106,41620.0,False
Barrow,2015,Other services,11429173,499,22904.0,False
Barrow,2015,Professional and business services,31085573,1073,28971.0,False
Barrow,2015,"Trade, transportation and utilities",211682850,5945,35607.0,False
Barrow,2016,Construction,57489157,1145,50209.0,False
Barrow,2016,Education and health services,61155211,1591,38438.0,False
Barrow,2016,Financial activities,16525464,378,43718.0,False
Barrow,2016,Information,6086895,156,39019.0,False
Barrow,2016,Leisure and hospitality,35226485,1891,18628.0,False
Barrow,2016,Manufacturing,101552170,2082,48776.0,False
Barrow,2016,Natural resources and mining,4088732,100,40887.0,False
Barrow,2016,Other services,11716372,489,23960.0,False
Barrow,2016,Professional and business services,34158142,1009,33853.0,False
Barrow,2016,"Trade, transportation and utilities",218123244,5951,36653.0,False
Barrow,2017,Construction,62718829,1196,52440.0,False
Barrow,2017,Education and health services,73871300,1760,41972.0,False
Barrow,2017,Financial activities,16457617,403,40838.0,False
Barrow,2017,Information,3644451,105,34709.0,False
Barrow,2017,Leisure and hospitality,40232413,2171,18532.0,False
Barrow,2017,Manufacturing,102740413,2107,48761.0,False
Barrow,2017,Natural resources and mining,5691529,161,35351.0,False
Barrow,2017,Other services,11431202,450,25403.0,False
Barrow,2017,Professional and business services,51580198,1336,38608.0,False
Barrow,2017,"Trade, transportation and utilities",224701088,5903,38066.0,False
Barrow,2018,Construction,69757515,1279,54541.0,False
Barrow,2018,Education and health services,85800638,1973,43487.0,False
Barrow,2018,Financial activities,16337885,366,44639.0,False
Barrow,2018,Information,2171125,65,33402.0,False
Barrow,2018,Leisure and hospitality,40483723,2379,17017.0,False
Barrow,2018,Manufacturing,109473051,2154,50823.0,False
Barrow,2018,Natural resources and mining,8713428,233,37397.0,False
Barrow,2018,Other services,11105898,436,25472.0,False
Barrow,2018,Professional and business services,66086803,1492,44294.0,False
Barrow,2018,"Trade, transportation and utilities",246364090,6121,40249.0,False
Barrow,2019,Construction,79965222,1318,60672.0,False
Barrow,2019,Education and health services,85653531,1968,43523.0,False
Barrow,2019,Financial activities,17057006,373,45729.0,False
Barrow,2019,Information,2249596,64,35150.0,False
Barrow,2019,Leisure and hospitality,42574796,2392,17799.0,False
Barrow,2019,Manufacturing,111931169,2163,51748.0,False
Barrow,2019,Natural resources and mining,13065452,320,40830.0,False
Barrow,2019,Other services,13132887,464,28304.0,False
Barrow,2019,Professional and business services,75165098,1491,50413.0,False
Barrow,2019,"Trade, transportation and utilities",269706382,6636,40643.0,False
Barrow,2020,Construction,85382249,1406,60727.0,False
Barrow,2020,Education and health services,88041049,2091,42105.0,False
Barrow,2020,Financial activities,18532081,380,48769.0,False
Barrow,2020,Information,1883177,58,32469.0,False
Barrow,2020,Leisure and hospitality,37400762,2052,18226.0,False
Barrow,2020,Manufacturing,125024880,2204,56726.0,False
Barrow,2020,Natural resources and mining,16877792,359,47013.0,False
Barrow,2020,Other services,14152570,445,31804.0,False
Barrow,2020,Professional and business services,80439441,1563,51465.0,False
Barrow,2020,"Trade, transportation and utilities",292153823,6705,43573.0,False
Barrow,2021,Construction,97529598,1391,70115.0,False
Barrow,2021,Education and health services,99163625,2262,43839.0,False
Barrow,2021,Financial activities,19621875,365,53759.0,False
Barrow,2021,Information,3287084,75,43828.0,False
Barrow,2021,Leisure and hospitality,46384934,2257,20552.0,False
Barrow,2021,Manufacturing,132695991,2170,61150.0,False
Barrow,2021,Natural resources and mining,17506146,354,49452.0,False
Barrow,2021,Other services,16935344,508,33337.0,False
Barrow,2021,Professional and business services,90208091,1653,54572.0,False
Barrow,2021,"Trade, transportation and utilities",342769006,6991,49030.0,False
Barrow,2022,Construction,116601851,1522,76611.0,False
Barrow,2022,Education and health services,108543592,2323,46726.0,False
Barrow,2022,Financial activities,21642698,358,60454.0,False
Barrow,2022,Information,3327241,85,39144.0,False
Barrow,2022,Leisure and hospitality,57759277,2582,22370.0,False
Barrow,2022,Manufacturing,145434254,2142,67896.0,False
Barrow,2022,Natural resources and mining,18682555,320,58383.0,False
Barrow,2022,Other services,23344344,603,38714.0,False
Barrow,2022,Professional and business services,71293888,1442,49441.0,False
Barrow,2022,"Trade, transportation and utilities",386524785,7603,50838.0,False
Barrow,2023,Construction,125172533,1632,76699.0,False
Barrow,2023,Education and health services,107030347,2150,49782.0,False
Barrow,2023,Financial activities,24257570,384,63171.0,False
Barrow,2023,Information,4127443,98,42117.0,False
Barrow,2023,Leisure and hospitality,63200673,2706,23356.0,False
Barrow,2023,Manufacturing,156691396,2269,69057.0,False
Barrow,2023,Natural resources and mining,7095431,111,63923.0,False
Barrow,2023,Other services,27346003,682,40097.0,False
Barrow,2023,Professional and business services,92512126,1930,47934.0,False
Barrow,2023,"Trade, transportation and utilities",371891616,7355,50563.0,False
Bartow,2015,Construction,78618795,1659,47389.0,False
Bartow,2015,Education and health services,127931582,2540,50367.0,False
Bartow,2015,Financial activities,45961075,1021,45016.0,False
Bartow,2015,Information,8625981,196,44010.0,False
Bartow,2015,Leisure and hospitality,65471745,3984,16434.0,False
Bartow,2015,Manufacturing,472368397,9270,50957.0,False
Bartow,2015,Natural resources and mining,9600594,181,53042.0,False
Bartow,2015,Other services,24296692,730,33283.0,False
Bartow,2015,Professional and business services,104015279,2592,40129.0,False
Bartow,2015,"Trade, transportation and utilities",295526699,7404,39914.0,False
Bartow,2016,Construction,84840773,1732,48984.0,False
Bartow,2016,Education and health services,132779930,2679,49563.0,False
Bartow,2016,Financial activities,47184318,1006,46903.0,False
Bartow,2016,Information,9210303,199,46283.0,False
Bartow,2016,Leisure and hospitality,73972015,4341,17040.0,False
Bartow,2016,Manufacturing,497424435,9635,51627.0,False
Bartow,2016,Natural resources and mining,9717625,182,53394.0,False
Bartow,2016,Other services,26864290,761,35301.0,False
Bartow,2016,Professional and business services,101174635,2357,42925.0,False
Bartow,2016,"Trade, transportation and utilities",312908899,7699,40643.0,False
Bartow,2017,Construction,90765929,1819,49899.0,False
Bartow,2017,Education and health services,138919498,2835,49002.0,False
Bartow,2017,Financial activities,51013014,1012,50408.0,False
Bartow,2017,Information,13545789,268,50544.0,False
Bartow,2017,Leisure and hospitality,80840443,4594,17597.0,False
Bartow,2017,Manufacturing,502476029,9570,52505.0,False
Bartow,2017,Natural resources and mining,10032133,196,51184.0,False
Bartow,2017,Other services,25225060,732,34460.0,False
Bartow,2017,Professional and business services,113043683,2612,43279.0,False
Bartow,2017,"Trade, transportation and utilities",342316552,8334,41075.0,False
Bartow,2018,Construction,99315663,1862,53338.0,False
Bartow,2018,Education and health services,155313907,3175,48918.0,False
Bartow,2018,Financial activities,48496449,994,48789.0,False
Bartow,2018,Information,8937132,175,51069.0,False
Bartow,2018,Leisure and hospitality,85614595,4713,18166.0,False
Bartow,2018,Manufacturing,549750860,10109,54382.0,False
Bartow,2018,Natural resources and mining,11308206,211,53593.0,False
Bartow,2018,Other services,27816875,776,35846.0,False
Bartow,2018,Professional and business services,127480688,2886,44172.0,False
Bartow,2018,"Trade, transportation and utilities",394887252,9053,43619.0,False
Bartow,2019,Construction,100584014,1894,53107.0,False
Bartow,2019,Education and health services,165982422,3318,50025.0,False
Bartow,2019,Financial activities,46505733,972,47845.0,False
Bartow,2019,Information,7914371,164,48258.0,False
Bartow,2019,Leisure and hospitality,91357317,4802,19025.0,False
Bartow,2019,Manufacturing,552974094,10151,54475.0,False
Bartow,2019,Natural resources and mining,12039921,224,53750.0,False
Bartow,2019,Other services,30183627,819,36854.0,False
Bartow,2019,Professional and business services,156782738,3887,40335.0,False
Bartow,2019,"Trade, transportation and utilities",449302286,9791,45889.0,False
Bartow,2020,Construction,104997703,1905,55117.0,False
Bartow,2020,Education and health services,166834304,3335,50025.0,False
Bartow,2020,Financial activities,49766425,967,51465.0,False
Bartow,2020,Information,6890405,137,50295.0,False
Bartow,2020,Leisure and hospitality,89485080,4426,20218.0,False
Bartow,2020,Manufacturing,541307222,9529,56806.0,False
